name,Price,rpm,noise_level,color,size
Jonsbo CR-1000,,"[700,1800]","[20.55,37.2]",Black,
Asus ROG STRIX LC II,99.99,"[800,2500]",,Black,240
Montech METAL DT24 PREMIUM,69,"[800,1950]",,Black / Silver,
NZXT Kraken Z63 RGB,,"[500,1500]","[22,33]",Black,280
Corsair H100i PRO RGB,,,,Black,240
Noctua NH-U14S TR4-SP3,99.95,"[300,1500]","[19.2,24.6]",,
Cooler Master A71C,17.98,"[650,1800]",,Black,
Corsair iCUE H115i RGB Pro XT,189.99,,,Black,280
Corsair iCUE LINK H100i RGB,209.99,"[480,2400]",,White,240
Corsair H60,249.93,,,,120
Enermax LIQMAX III 360 ARGB,99.99,"[500,1600]","[14,27]",White / Black,360
ID-COOLING FROSTFLOW X 240 LITE,,"[700,1800]","[15.2,35.2]",Black,240
CRYORIG M9a,46.76,"[600,2200]",,,
ARCTIC Freezer i35 RGB,41.16,"[200,1700]",,Black,
Deepcool AG200,,"[500,3050]",,Black / Silver,
NZXT T120,49.99,"[500,1800]","[17.9,30.6]",White,
ID-COOLING SE-224-XTS,27.99,"[600,1500]",,Black / Silver,
Cooler Master MasterLiquid ML360R RGB,,"[650,2000]","[6,34]",Black,360
Jonsbo CR-1400,,"[900,2300]","[20,30.5]",Black,
Thermalright Silver Soul 110,29.9,,,White,
be quiet! Shadow Rock LP,49.9,,"[14.8,25.5]",,
Thermalright AXP120-X67,41.9,,,Gray,
Thermalright Burst Assassin ARGB,23.9,,,Black / Silver,
Gelid Solutions BlackFrore,,"[900,2000]",,Black,
Cooler Master Hyper H410R RGB,41,"[600,2000]","[6,29]",,
Thermalright Frozen Magic Scenic V2,,,,White,280
